car_name,brand,model,km_driven,seller_type,fuel_type,transmission_type,seats,selling_price,vehicle_age,mileage,seller_d,Transmission_Auto,Fuel_Petrol,Fuel_electric,Fuel_Diesel,Fuel_CNG,Fuel_LPG,engine,max_power,,,
BMW 5,BMW,5,136000,Dealer,Diesel,Automatic,5,1699000,10,16.2,1,1,0,0,1,0,0,2993,235,,,
Maruti Baleno,Maruti,Baleno,14000,Dealer,Petrol,Manual,5,640000,2,21.01,1,0,1,0,0,0,0,1197,81.8,,,
Mahindra Bolero,Mahindra,Bolero,120000,Dealer,Diesel,Manual,7,625000,7,13.6,1,0,0,0,1,0,0,2523,63,,,
Honda City,Honda,City,71000,Dealer,Petrol,Manual,5,850000,4,17.8,1,0,1,0,0,0,0,1497,117.3,,,
Toyota Innova,Toyota,Innova,68194,Dealer,Diesel,Automatic,7,1950000,5,11.36,1,1,0,0,1,0,0,2755,171.5,,,
Tata Nexon,Tata,Nexon,80000,Dealer,Diesel,Manual,5,889000,3,21.5,1,0,0,0,1,0,0,1497,108.5,,,
Hyundai i10,Hyundai,i10,52221,Dealer,Petrol,Manual,5,320000,11,20.36,1,0,1,0,0,0,0,1197,78.9,,,
BMW X3,BMW,X3,80000,Dealer,Diesel,Automatic,5,1850000,9,16.09,1,1,0,0,1,0,0,1995,184,,,
Ford Freestyle,Ford,Freestyle,25000,Individual,Diesel,Manual,5,771000,3,24.4,0,0,0,0,1,0,0,1498,98.63,,,
Volkswagen Polo,Volkswagen,Polo,98000,Dealer,Diesel,Manual,5,599000,5,20.14,1,0,0,0,1,0,0,1498,88,,,
Hyundai i20,Hyundai,i20,26000,Dealer,Petrol,Manual,5,675000,3,18.6,1,0,1,0,0,0,0,1197,81.86,,,
BMW X5,BMW,X5,70000,Dealer,Diesel,Automatic,5,3500000,6,15.3,1,1,0,0,1,0,0,2993,258,,,
Mahindra Bolero,Mahindra,Bolero,120000,Individual,Diesel,Manual,9,400000,6,15.96,0,0,0,0,1,0,0,2523,63,,,
Hyundai Grand,Hyundai,Grand,46139,Dealer,Diesel,Manual,5,375000,4,24,1,0,0,0,1,0,0,1186,73.97,,,
Jaguar XF,Jaguar,XF,60000,Individual,Diesel,Automatic,5,2400000,6,16.36,0,1,0,0,1,0,0,2179,187.7,,,
Hyundai i20,Hyundai,i20,12000,Individual,Petrol,Manual,5,735000,2,18.6,0,0,1,0,0,0,0,1197,81.86,,,
Mahindra Bolero,Mahindra,Bolero,61440,Dealer,Diesel,Manual,7,650000,6,15.96,1,0,0,0,1,0,0,2523,62.1,,,
Ford Figo,Ford,Figo,61706,Dealer,Diesel,Manual,5,595000,5,25.83,1,0,0,0,1,0,0,1498,99,,,
Tata Tiago,Tata,Tiago,6500,Individual,Petrol,Manual,5,500000,2,23.84,0,0,1,0,0,0,0,1199,84,,,
Mahindra XUV500,Mahindra,XUV500,72423,Dealer,Diesel,Manual,7,760000,8,15.1,1,0,0,0,1,0,0,2179,140,,,
Hyundai Verna,Hyundai,Verna,90000,Individual,Diesel,Manual,5,520000,8,22.32,0,0,0,0,1,0,0,1582,126.32,,,
Hyundai i20,Hyundai,i20,60000,Individual,Diesel,Manual,5,725000,3,22.54,0,0,0,0,1,0,0,1396,88.73,,,
Maruti Baleno,Maruti,Baleno,43642,Dealer,Petrol,Manual,5,629000,6,21.4,1,0,1,0,0,0,0,1197,83.1,,,
Maruti Alto,Maruti,Alto,56000,Dealer,Petrol,Manual,5,265000,7,22.74,1,0,1,0,0,0,0,796,47.3,,,
Toyota Innova,Toyota,Innova,82000,Dealer,Diesel,Manual,7,1299000,6,12.99,1,0,0,0,1,0,0,2494,100.6,,,
Maruti Alto,Maruti,Alto,60000,Individual,Petrol,Manual,5,315000,7,23.95,0,0,1,0,0,0,0,998,67.05,,,
Honda City,Honda,City,91000,Dealer,Diesel,Manual,5,850000,4,25.6,1,0,0,0,1,0,0,1498,97.9,,,
Porsche Cayenne,Porsche,Cayenne,87000,Dealer,Diesel,Automatic,5,4200000,9,15.15,1,1,0,0,1,0,0,2967,240,,,
Mahindra XUV500,Mahindra,XUV500,100000,Individual,Diesel,Manual,7,800000,9,15.1,0,0,0,0,1,0,0,2179,140,,,
Maruti Swift Dzire,Maruti,Swift Dzire,12500,Individual,Petrol,Manual,5,650000,3,22,0,0,1,0,0,0,0,1197,81.8,,,
Honda Amaze,Honda,Amaze,78000,Dealer,Diesel,Manual,5,485000,7,25.8,1,0,0,0,1,0,0,1498,98.6,,,
Volkswagen Polo,Volkswagen,Polo,60000,Individual,Diesel,Manual,5,300000,9,22.07,0,0,0,0,1,0,0,1199,73.9,,,
Maruti Vitara,Maruti,Vitara,30000,Individual,Diesel,Manual,5,950000,4,24.3,0,0,0,0,1,0,0,1248,88.5,,,
Toyota Innova,Toyota,Innova,78000,Dealer,Diesel,Manual,8,1375000,6,12.8,1,0,0,0,1,0,0,2494,102,,,
Hyundai Creta,Hyundai,Creta,85204,Dealer,Diesel,Manual,5,1025000,5,19.67,1,0,0,0,1,0,0,1582,126.2,,,
Maruti Swift,Maruti,Swift,100000,Individual,Diesel,Manual,5,620000,4,25.2,0,0,0,0,1,0,0,1248,74,,,
Tata Tigor,Tata,Tigor,95000,Individual,Diesel,Manual,5,600000,4,24.7,0,0,0,0,1,0,0,1047,69,,,
Maruti Baleno,Maruti,Baleno,48000,Individual,Petrol,Automatic,5,625000,5,21.4,0,1,1,0,0,0,0,1197,83.1,,,
Ford Figo,Ford,Figo,90000,Individual,Diesel,Manual,5,220000,9,20,0,0,0,0,1,0,0,1399,68,,,
Hyundai Verna,Hyundai,Verna,40500,Dealer,Diesel,Manual,5,845000,4,22,1,0,0,0,1,0,0,1582,126.2,,,
Maruti Swift,Maruti,Swift,40000,Individual,Petrol,Manual,5,550000,3,21.21,0,0,1,0,0,0,0,1197,81.8,,,
Hyundai Creta,Hyundai,Creta,19000,Individual,Diesel,Manual,5,1310000,3,20.5,0,0,0,0,1,0,0,1582,126.2,,,
Hyundai Grand,Hyundai,Grand,33700,Dealer,Diesel,Manual,5,450000,7,24,1,0,0,0,1,0,0,1120,70,,,
Mahindra Scorpio,Mahindra,Scorpio,89000,Dealer,Diesel,Manual,8,695000,9,12.05,1,0,0,0,1,0,0,2179,120,,,
Mahindra Bolero,Mahindra,Bolero,108875,Dealer,Diesel,Manual,7,450000,8,15.96,1,0,0,0,1,0,0,2523,62.1,,,
Hyundai Grand,Hyundai,Grand,35166,Dealer,Petrol,Manual,5,669000,2,18.9,1,0,1,0,0,0,0,1197,81.86,,,
Jeep Compass,Jeep,Compass,13500,Individual,Diesel,Manual,5,1750000,2,17.1,0,0,0,0,1,0,0,1956,170,,,
Tata Tigor,Tata,Tigor,30000,Individual,Diesel,Manual,5,700000,3,24.7,0,0,0,0,1,0,0,1047,69,,,
Mahindra Scorpio,Mahindra,Scorpio,65273,Trustmark Dealer,Diesel,Manual,7,1240000,5,15.4,0,0,0,0,1,0,0,2179,120,,,
Maruti Ciaz,Maruti,Ciaz,36000,Dealer,Petrol,Manual,5,775000,3,20.73,1,0,1,0,0,0,0,1373,91.1,,,
Maruti Swift Dzire,Maruti,Swift Dzire,70000,Individual,Diesel,Manual,5,550000,6,26.59,0,0,0,0,1,0,0,1248,74,,,
Maruti Swift,Maruti,Swift,7000,Dealer,Petrol,Manual,5,610000,3,22,1,0,1,0,0,0,0,1197,81.8,,,
Maruti Wagon R,Maruti,Wagon R,70000,Dealer,Petrol,Manual,5,340000,6,21.5,1,0,1,0,0,0,0,1197,81.8,,,
Maruti Ciaz,Maruti,Ciaz,67248,Dealer,Petrol,Manual,5,495000,5,20.73,1,0,1,0,0,0,0,1373,91.1,,,
Volkswagen Polo,Volkswagen,Polo,58000,Dealer,Petrol,Manual,5,690000,3,16.2,1,0,1,0,0,0,0,1199,74,,,
Toyota Innova,Toyota,Innova,120000,Individual,Diesel,Manual,8,1560000,4,13.68,0,0,0,0,1,0,0,2393,147.8,,,
Maruti Ertiga,Maruti,Ertiga,51000,Dealer,Diesel,Manual,7,835000,4,25.47,1,0,0,0,1,0,0,1248,88.5,,,
Ford Figo,Ford,Figo,59000,Dealer,Diesel,Manual,5,410000,8,20,1,0,0,0,1,0,0,1399,68.05,,,
Mahindra Bolero,Mahindra,Bolero,120000,Individual,Diesel,Manual,9,600000,6,15.96,0,0,0,0,1,0,0,2523,63,,,
Honda Amaze,Honda,Amaze,48000,Dealer,Diesel,Manual,5,545000,6,27.4,1,0,0,0,1,0,0,1498,98.63,,,
Maruti Alto,Maruti,Alto,90000,Individual,Petrol,Manual,5,90000,16,19.7,0,0,1,0,0,0,0,796,46.3,,,
Maruti Wagon R,Maruti,Wagon R,100000,Individual,LPG,Manual,5,150000,12,17.3,0,0,0,0,0,0,1,1061,57.5,,,
Maruti Swift Dzire,Maruti,Swift Dzire,123273,Dealer,Diesel,Manual,5,410000,6,26.59,1,0,0,0,1,0,0,1248,74,,,
Hyundai Creta,Hyundai,Creta,32500,Dealer,Petrol,Manual,5,1100000,4,15.8,1,0,1,0,0,0,0,1591,121.3,,,
Maruti Alto,Maruti,Alto,103000,Dealer,Petrol,Manual,5,150000,15,19.7,1,0,1,0,0,0,0,796,46.3,,,
Mahindra Bolero,Mahindra,Bolero,78000,Dealer,Diesel,Manual,7,550000,7,15.96,1,0,0,0,1,0,0,2523,62.1,,,
Renault KWID,Renault,KWID,50000,Individual,Petrol,Manual,5,310000,4,23.01,0,0,1,0,0,0,0,999,67,,,
Maruti Alto,Maruti,Alto,62900,Dealer,Petrol,Manual,5,235000,10,20.92,1,0,1,0,0,0,0,998,67.1,,,
Maruti Vitara,Maruti,Vitara,19000,Dealer,Diesel,Automatic,5,1035000,2,24.3,1,1,0,0,1,0,0,1248,88.5,,,
BMW 3,BMW,3,141000,Dealer,Diesel,Automatic,5,999000,11,16.07,1,1,0,0,1,0,0,1995,181,,,
Renault Duster,Renault,Duster,70000,Individual,Diesel,Manual,5,690000,6,19.01,0,0,0,0,1,0,0,1461,108.45,,,
Maruti Wagon R,Maruti,Wagon R,19000,Dealer,Petrol,Automatic,5,485000,4,20.51,1,1,1,0,0,0,0,998,67,,,
Hyundai Creta,Hyundai,Creta,25000,Individual,Diesel,Manual,5,999000,3,22.1,0,0,0,0,1,0,0,1396,88.7,,,
Maruti Wagon R,Maruti,Wagon R,27894,Dealer,Petrol,Manual,5,375000,7,21.79,1,0,1,0,0,0,0,998,67.05,,,
Hyundai Verna,Hyundai,Verna,50000,Individual,Diesel,Manual,5,620000,8,22.32,0,0,0,0,1,0,0,1582,126.32,,,
Ford Ecosport,Ford,Ecosport,74000,Individual,Diesel,Manual,5,740000,3,23,0,0,0,0,1,0,0,1498,98.96,,,
Honda Amaze,Honda,Amaze,4387,Dealer,Petrol,Manual,5,685000,2,17.8,1,0,1,0,0,0,0,1198,86.7,,,
Maruti Ertiga,Maruti,Ertiga,44000,Dealer,Diesel,Manual,7,770000,6,20.77,1,0,0,0,1,0,0,1248,88.76,,,
Hyundai Creta,Hyundai,Creta,116589,Dealer,Diesel,Manual,5,1100000,4,19.67,1,0,0,0,1,0,0,1582,126.2,,,
Maruti Swift Dzire,Maruti,Swift Dzire,35000,Individual,Petrol,Manual,5,630000,3,22,0,0,1,0,0,0,0,1197,81.8,,,
Honda City,Honda,City,70900,Dealer,Petrol,Manual,5,625000,5,17,1,0,1,0,0,0,0,1497,118,,,
Maruti Vitara,Maruti,Vitara,54566,Dealer,Diesel,Manual,5,789000,5,24.3,1,0,0,0,1,0,0,1248,88.5,,,
Honda Amaze,Honda,Amaze,76000,Dealer,Diesel,Manual,5,350000,8,25.8,1,0,0,0,1,0,0,1498,98.6,,,
Mahindra Bolero,Mahindra,Bolero,89635,Dealer,Diesel,Manual,9,410000,6,13.6,1,0,0,0,1,0,0,2523,63,,,
Hyundai Verna,Hyundai,Verna,87000,Dealer,Diesel,Automatic,5,595000,8,19.08,1,1,0,0,1,0,0,1582,126.32,,,
Toyota Innova,Toyota,Innova,150000,Individual,Diesel,Manual,8,900000,7,12.99,0,0,0,0,1,0,0,2494,100.6,,,
Hyundai Creta,Hyundai,Creta,55321,Dealer,Diesel,Manual,5,1275000,4,19.67,1,0,0,0,1,0,0,1582,126.2,,,
BMW 3,BMW,3,158000,Dealer,Diesel,Automatic,5,1250000,9,16.07,1,1,0,0,1,0,0,1995,181,,,
Maruti Alto,Maruti,Alto,72715,Dealer,Petrol,Manual,5,210000,10,20.92,1,0,1,0,0,0,0,998,67.1,,,
Maruti Swift Dzire,Maruti,Swift Dzire,58000,Dealer,Diesel,Manual,5,550000,6,19.3,1,0,0,0,1,0,0,1248,73.9,,,
Hyundai i20,Hyundai,i20,22218,Dealer,Petrol,Manual,5,715000,3,18.6,1,0,1,0,0,0,0,1197,81.83,,,
Maruti Baleno,Maruti,Baleno,1001,Dealer,Petrol,Automatic,5,850000,1,19.56,1,1,1,0,0,0,0,1197,81.8,,,
Maruti Ciaz,Maruti,Ciaz,55000,Dealer,Diesel,Manual,5,625000,6,28.09,1,0,0,0,1,0,0,1248,88.5,,,
Tata Tiago,Tata,Tiago,50500,Individual,Diesel,Manual,5,380000,5,27.28,0,0,0,0,1,0,0,1047,69,,,
Maruti Swift Dzire,Maruti,Swift Dzire,61000,Dealer,Diesel,Automatic,5,745000,3,28.4,1,1,0,0,1,0,0,1248,74.02,,,
Hyundai Creta,Hyundai,Creta,30000,Individual,Diesel,Manual,5,920000,3,22.1,0,0,0,0,1,0,0,1396,88.7,,,
Hyundai i10,Hyundai,i10,76602,Dealer,Petrol,Manual,5,320000,11,20.36,1,0,1,0,0,0,0,1197,78.9,,,
Maruti Alto,Maruti,Alto,70000,Individual,Petrol,Manual,5,270000,4,24.7,0,0,1,0,0,0,0,796,47.3,,,
Ford Freestyle,Ford,Freestyle,25000,Individual,Diesel,Manual,5,790000,2,24.4,0,0,0,0,1,0,0,1498,98.63,,,
Maruti Swift Dzire,Maruti,Swift Dzire,77000,Dealer,Diesel,Manual,5,700000,4,19.3,1,0,0,0,1,0,0,1248,73.9,,,
Maruti Swift,Maruti,Swift,77600,Dealer,Diesel,Automatic,5,695000,3,28.4,1,1,0,0,1,0,0,1248,74,,,
Maruti Alto,Maruti,Alto,45000,Dealer,Petrol,Manual,5,285000,8,22.74,1,0,1,0,0,0,0,796,47.3,,,
Ford Ecosport,Ford,Ecosport,233000,Dealer,Diesel,Manual,5,460000,8,22.7,1,0,0,0,1,0,0,1498,89.84,,,
Maruti Swift,Maruti,Swift,85000,Dealer,Diesel,Manual,5,615000,4,22.9,1,0,0,0,1,0,0,1248,74,,,
Volkswagen Polo,Volkswagen,Polo,48900,Dealer,Petrol,Manual,5,514000,6,16.47,1,0,1,0,0,0,0,1198,74,,,
Mahindra Scorpio,Mahindra,Scorpio,60000,Individual,Diesel,Manual,5,400000,10,13.5,0,0,0,0,1,0,0,2179,115,,,
Mahindra XUV500,Mahindra,XUV500,58230,Dealer,Diesel,Manual,7,800000,6,15.1,1,0,0,0,1,0,0,2179,140,,,
Maruti Swift Dzire,Maruti,Swift Dzire,80000,Individual,Diesel,Manual,5,375000,11,19.3,0,0,0,0,1,0,0,1248,73.9,,,
Maruti Baleno,Maruti,Baleno,20332,Dealer,Petrol,Automatic,5,660000,3,21.4,1,1,1,0,0,0,0,1197,83.1,,,
Mahindra Bolero,Mahindra,Bolero,73435,Dealer,Diesel,Manual,7,675000,4,15.96,1,0,0,0,1,0,0,2523,62.1,,,
Ford Ecosport,Ford,Ecosport,22128,Dealer,Diesel,Manual,5,1135000,3,23,1,0,0,0,1,0,0,1498,98.96,,,
Maruti Alto,Maruti,Alto,21900,Dealer,Petrol,Manual,5,360000,2,24.7,1,0,1,0,0,0,0,796,47.3,,,
Volkswagen Vento,Volkswagen,Vento,80000,Individual,Diesel,Manual,5,525000,8,20.54,0,0,0,0,1,0,0,1598,103.6,,,
Honda City,Honda,City,78000,Individual,Petrol,Manual,5,350000,13,17,0,0,1,0,0,0,0,1497,118,,,
Maruti Celerio,Maruti,Celerio,25000,Individual,Petrol,Automatic,5,530000,2,23.1,0,1,1,0,0,0,0,998,67.04,,,
Maruti Vitara,Maruti,Vitara,12000,Dealer,Diesel,Manual,5,925000,3,24.3,1,0,0,0,1,0,0,1248,88.5,,,
Maruti Alto,Maruti,Alto,100000,Individual,Petrol,Manual,5,145000,14,19.7,0,0,1,0,0,0,0,796,46.3,,,
Hyundai i10,Hyundai,i10,18000,Dealer,Petrol,Manual,5,330000,12,20.36,1,0,1,0,0,0,0,1197,78.9,,,
Audi A6,Audi,A6,100000,Dealer,Diesel,Automatic,5,2275000,6,18.53,1,1,0,0,1,0,0,1968,187.74,,,
Honda City,Honda,City,30000,Dealer,Diesel,Manual,5,500000,6,26,1,0,0,0,1,0,0,1498,98.6,,,
Honda Amaze,Honda,Amaze,10000,Individual,Diesel,Automatic,5,795000,2,23.8,0,1,0,0,1,0,0,1498,78.9,,,
Maruti Swift Dzire,Maruti,Swift Dzire,91000,Dealer,Diesel,Manual,5,550000,7,23.4,1,0,0,0,1,0,0,1248,74,,,
Hyundai Creta,Hyundai,Creta,90000,Individual,Diesel,Manual,5,950000,3,22.1,0,0,0,0,1,0,0,1396,88.7,,,
Maruti Swift,Maruti,Swift,92000,Dealer,Diesel,Manual,5,480000,6,22.9,1,0,0,0,1,0,0,1248,74,,,
Hyundai Creta,Hyundai,Creta,37000,Dealer,Petrol,Automatic,5,1095000,5,13,1,1,1,0,0,0,0,1591,121.3,,,
Honda City,Honda,City,58972,Dealer,Diesel,Manual,5,690000,6,26,1,0,0,0,1,0,0,1498,98.6,,,
Maruti Vitara,Maruti,Vitara,53892,Dealer,Diesel,Manual,5,780000,4,24.3,1,0,0,0,1,0,0,1248,88.5,,,
Maruti Baleno,Maruti,Baleno,20000,Dealer,Petrol,Manual,5,770000,4,21.01,1,0,1,0,0,0,0,1197,81.8,,,
Maruti Baleno,Maruti,Baleno,69000,Dealer,Diesel,Manual,5,790000,2,27.39,1,0,0,0,1,0,0,1248,74,,,
Volkswagen Vento,Volkswagen,Vento,66000,Dealer,Diesel,Manual,5,490000,8,20.54,1,0,0,0,1,0,0,1598,103.6,,,
Jeep Compass,Jeep,Compass,50000,Individual,Diesel,Manual,5,1500000,3,17.1,0,0,0,0,1,0,0,1956,170,,,
Hyundai i20,Hyundai,i20,54000,Dealer,Diesel,Manual,5,660000,5,22.54,1,0,0,0,1,0,0,1396,88.73,,,
Maruti Alto,Maruti,Alto,35000,Individual,Petrol,Manual,5,213000,7,23.95,0,0,1,0,0,0,0,998,67.05,,,
Maruti Swift Dzire,Maruti,Swift Dzire,112000,Dealer,Diesel,Manual,5,550000,7,23.4,1,0,0,0,1,0,0,1248,74,,,
Maruti Alto,Maruti,Alto,40000,Individual,Petrol,Manual,5,300000,5,23.95,0,0,1,0,0,0,0,998,67.05,,,
Maruti Swift Dzire,Maruti,Swift Dzire,90000,Individual,Diesel,Manual,5,700000,3,28.4,0,0,0,0,1,0,0,1248,74.02,,,
Maruti Swift Dzire,Maruti,Swift Dzire,37000,Dealer,Diesel,Manual,5,811000,3,28.4,1,0,0,0,1,0,0,1248,74.02,,,
Hyundai Creta,Hyundai,Creta,25000,Individual,Diesel,Manual,5,1500000,3,20.5,0,0,0,0,1,0,0,1582,126.2,,,
Hyundai Creta,Hyundai,Creta,53000,Individual,Diesel,Manual,5,1100000,4,21.38,0,0,0,0,1,0,0,1396,88.7,,,
Renault Duster,Renault,Duster,73000,Dealer,Diesel,Automatic,5,895000,5,19.6,1,1,0,0,1,0,0,1461,108.45,,,
Maruti Ciaz,Maruti,Ciaz,115852,Dealer,Diesel,Manual,5,655000,5,28.09,1,0,0,0,1,0,0,1248,88.5,,,
Maruti Baleno,Maruti,Baleno,13500,Individual,Petrol,Manual,5,578000,2,21.01,0,0,1,0,0,0,0,1197,81.8,,,
Tata Safari,Tata,Safari,110000,Individual,Diesel,Manual,7,300000,12,11.57,0,0,0,0,1,0,0,2179,138.1,,,
Renault KWID,Renault,KWID,45500,Dealer,Petrol,Manual,5,325000,5,23.01,1,0,1,0,0,0,0,999,67,,,
Volkswagen Vento,Volkswagen,Vento,55000,Individual,Diesel,Automatic,5,950000,5,22.15,0,1,0,0,1,0,0,1498,108.6,,,
Ford Ecosport,Ford,Ecosport,45000,Individual,Diesel,Manual,5,900000,4,23,0,0,0,0,1,0,0,1498,98.96,,,
Maruti Celerio,Maruti,Celerio,9400,Dealer,Petrol,Automatic,5,470000,4,23.1,1,1,1,0,0,0,0,998,67.04,,,
Tata Nexon,Tata,Nexon,35000,Individual,Diesel,Manual,5,775000,3,21.5,0,0,0,0,1,0,0,1497,108.5,,,
Maruti Alto,Maruti,Alto,18404,Dealer,Petrol,Manual,5,329000,3,24.7,1,0,1,0,0,0,0,796,47.3,,,
Maruti Wagon R,Maruti,Wagon R,60000,Individual,Petrol,Manual,5,150000,12,18.9,0,0,1,0,0,0,0,1061,67,,,
BMW X1,BMW,X1,36806,Dealer,Diesel,Automatic,5,2700000,5,20.68,1,1,0,0,1,0,0,1995,188,,,
Ford Ecosport,Ford,Ecosport,11000,Dealer,Petrol,Manual,5,950000,4,18.88,1,0,1,0,0,0,0,999,123.24,,,
Hyundai i20,Hyundai,i20,33000,Dealer,Petrol,Manual,5,695000,4,18.6,1,0,1,0,0,0,0,1197,81.83,,,
Hyundai Verna,Hyundai,Verna,100000,Individual,Diesel,Manual,5,520000,9,22.32,0,0,0,0,1,0,0,1582,126.32,,,
Renault KWID,Renault,KWID,15814,Dealer,Petrol,Manual,5,340000,5,25.17,1,0,1,0,0,0,0,799,53.3,,,
Honda City,Honda,City,51000,Individual,Diesel,Manual,5,610000,7,25.1,0,0,0,0,1,0,0,1498,98.6,,,
Renault KWID,Renault,KWID,39000,Individual,Petrol,Manual,5,325000,3,25.17,0,0,1,0,0,0,0,799,53.3,,,
Volkswagen Vento,Volkswagen,Vento,116000,Dealer,Diesel,Manual,5,400000,9,20.54,1,0,0,0,1,0,0,1598,103.6,,,
Maruti Swift,Maruti,Swift,46000,Individual,Diesel,Automatic,5,650000,3,28.4,0,1,0,0,1,0,0,1248,74,,,
Maruti Alto,Maruti,Alto,60000,Dealer,Petrol,Manual,5,310000,4,22.74,1,0,1,0,0,0,0,796,47.3,,,
Renault KWID,Renault,KWID,26000,Dealer,Petrol,Manual,5,400000,3,25.17,1,0,1,0,0,0,0,799,53.3,,,
Renault KWID,Renault,KWID,50000,Individual,Petrol,Manual,5,280000,4,25.17,0,0,1,0,0,0,0,799,53.3,,,
Hyundai Grand,Hyundai,Grand,36717,Dealer,Petrol,Manual,5,510000,3,18.9,1,0,1,0,0,0,0,1197,81.86,,,
Maruti Baleno,Maruti,Baleno,45000,Dealer,Diesel,Manual,5,895000,4,27.39,1,0,0,0,1,0,0,1248,74,,,
Honda Jazz,Honda,Jazz,26026,Dealer,Petrol,Manual,5,641000,4,18.2,1,0,1,0,0,0,0,1199,88.7,,,
Maruti Swift Dzire,Maruti,Swift Dzire,65000,Dealer,Diesel,Manual,5,480000,5,19.3,1,0,0,0,1,0,0,1248,73.9,,,
Jaguar XF,Jaguar,XF,79000,Dealer,Diesel,Automatic,5,2500000,8,14.74,1,1,0,0,1,0,0,2993,270.9,,,
Skoda Superb,Skoda,Superb,114447,Dealer,Petrol,Manual,5,450000,12,13.14,1,0,1,0,0,0,0,1798,160,,,
Hyundai Santro,Hyundai,Santro,88290,Dealer,Petrol,Manual,5,262000,11,17.92,1,0,1,0,0,0,0,1086,62.1,,,
Toyota Innova,Toyota,Innova,100000,Dealer,Diesel,Manual,7,980000,8,12.99,1,0,0,0,1,0,0,2494,100,,,
Mahindra Scorpio,Mahindra,Scorpio,87563,Dealer,Diesel,Manual,8,540000,10,12.05,1,0,0,0,1,0,0,2179,120,,,
Maruti Alto,Maruti,Alto,20000,Individual,Petrol,Manual,5,310000,3,24.7,0,0,1,0,0,0,0,796,47.3,,,
Maruti Wagon R,Maruti,Wagon R,70000,Individual,Petrol,Manual,5,380000,6,20.51,0,0,1,0,0,0,0,998,67.04,,,
Mahindra KUV100,Mahindra,KUV100,17000,Individual,Petrol,Manual,6,480000,2,18.15,0,0,1,0,0,0,0,1198,82,,,
Ford Ecosport,Ford,Ecosport,16000,Dealer,Diesel,Manual,5,750000,6,22.7,1,0,0,0,1,0,0,1498,89.84,,,
Hyundai Grand,Hyundai,Grand,45000,Individual,Diesel,Manual,5,550000,4,24,0,0,0,0,1,0,0,1186,73.97,,,
Maruti Vitara,Maruti,Vitara,60000,Individual,Diesel,Manual,5,615000,5,24.3,0,0,0,0,1,0,0,1248,88.5,,,
Tata Safari,Tata,Safari,120000,Individual,Diesel,Manual,7,270000,10,13.93,0,0,0,0,1,0,0,2179,138.03,,,
Hyundai i10,Hyundai,i10,82000,Dealer,Petrol,Manual,5,185000,13,20.36,1,0,1,0,0,0,0,1197,78.9,,,
Ford Aspire,Ford,Aspire,50000,Individual,Petrol,Manual,5,530000,3,18.16,0,0,1,0,0,0,0,1196,86.8,,,
Mahindra XUV500,Mahindra,XUV500,43000,Individual,Diesel,Manual,7,1300000,4,16,0,0,0,0,1,0,0,2179,140,,,
Ford Freestyle,Ford,Freestyle,5000,Dealer,Petrol,Manual,5,670000,2,19,1,0,1,0,0,0,0,1194,94.68,,,
Maruti Ciaz,Maruti,Ciaz,45000,Individual,Diesel,Manual,5,780000,5,28.09,0,0,0,0,1,0,0,1248,88.5,,,
Mahindra Bolero,Mahindra,Bolero,120000,Individual,Diesel,Manual,7,450000,10,13.6,0,0,0,0,1,0,0,2523,63,,,
Maruti Ciaz,Maruti,Ciaz,66000,Dealer,Diesel,Manual,5,725000,5,28.09,1,0,0,0,1,0,0,1248,88.5,,,
Hyundai i20,Hyundai,i20,100000,Individual,Diesel,Manual,5,320000,10,23,0,0,0,0,1,0,0,1396,90,,,
Tata Safari,Tata,Safari,270000,Individual,Diesel,Manual,7,120000,12,11.57,0,0,0,0,1,0,0,2179,138.1,,,
Hyundai i10,Hyundai,i10,60000,Dealer,Petrol,Manual,5,240000,11,19.81,1,0,1,0,0,0,0,1086,68.05,,,
Mahindra Scorpio,Mahindra,Scorpio,120000,Individual,Diesel,Manual,8,372000,9,14,0,0,0,0,1,0,0,2523,75,,,
Maruti Swift,Maruti,Swift,30000,Dealer,Diesel,Automatic,5,825000,2,28.4,1,1,0,0,1,0,0,1248,74,,,
Maruti Alto,Maruti,Alto,60000,Individual,Petrol,Manual,5,106000,12,19.7,0,0,1,0,0,0,0,796,46.3,,,
Maruti Swift,Maruti,Swift,96000,Dealer,Diesel,Manual,5,295000,13,17.8,1,0,0,0,1,0,0,1248,75,,,
Honda City,Honda,City,90000,Dealer,Petrol,Automatic,5,365000,13,14.5,1,1,1,0,0,0,0,1493,100,,,
Tata Safari,Tata,Safari,80000,Individual,Diesel,Manual,7,750000,8,14,0,0,0,0,1,0,0,2179,138.1,,,
Maruti Baleno,Maruti,Baleno,10000,Individual,Petrol,Automatic,5,650000,2,21.4,0,1,1,0,0,0,0,1197,83.1,,,
Ford Figo,Ford,Figo,76000,Dealer,Diesel,Manual,5,250000,9,20,1,0,0,0,1,0,0,1399,68,,,
Hyundai i20,Hyundai,i20,38000,Dealer,Petrol,Manual,5,650000,3,18.6,1,0,1,0,0,0,0,1197,81.86,,,
Hyundai i20,Hyundai,i20,79975,Dealer,Diesel,Manual,5,475000,9,23,1,0,0,0,1,0,0,1396,90,,,
Maruti Celerio,Maruti,Celerio,86000,Dealer,Petrol,Automatic,5,385000,7,23.1,1,1,1,0,0,0,0,998,67.04,,,
Maruti Baleno,Maruti,Baleno,35000,Dealer,Diesel,Manual,5,700000,3,27.39,1,0,0,0,1,0,0,1248,74,,,
